Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Rank,URL
J.Witten,TE,DAL,0,0,159,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
S.Shepard,WR,NYG,0,13,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
A.Thielen,WR,MIN,0,0,299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,
Ju.Jones,WR,ATL,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
D.Johnson,RB,CLE,0,44,160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
D.Hopkins,WR,HOU,0,0,204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
A.Hurns,WR,JAX,0,0,144,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
D.Murray,RB,TEN,0,184,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
R.Matthews,WR,TEN,0,0,201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
D.Adams,WR,GB,0,0,206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
D.Baldwin,WR,SEA,0,-3,212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
J.Cutler,QB,MIA,450,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,
J.Flacco,QB,BAL,366,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
J.Allen,RB,BAL,0,152,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
G.Tate,WR,DET,0,7,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
C.Carson,RB,SEA,0,166,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
K.Allen,WR,LAC,0,0,196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
T.Coleman,RB,ATL,0,104,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
T.West,RB,BAL,0,128,23,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,
L.Miller,RB,HOU,0,182,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
D.Henry,RB,TEN,0,171,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
A.Jeffery,WR,PHI,0,0,186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
P.Garcon,WR,SF,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
J.Stewart,RB,CAR,0,162,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
S.Bradford,QB,MIN,346,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
M.Lewis,TE,JAX,0,0,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,
C.Clay,TE,BUF,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
L.Blount,RB,PHI,0,113,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
N.Agholor,WR,PHI,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
D.Bryant,WR,DAL,0,0,114,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
D. Thomas,WR,DEN,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
O.Beckham,WR,NYG,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
M.Sanu,WR,ATL,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
K.Golladay,WR,DET,0,0,102,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
D.Walker,TE,TEN,0,1,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
P.Richardson,WR,SEA,0,0,108,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
C.McCaffrey,RB,CAR,0,73,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101,
M.Ingram,RB,NO,0,125,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
C.Fleener,TE,NO,0,0,108,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
B.Coleman,WR,NO,0,0,106,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
M.Evans,WR,TB,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
D.Parker,WR,MIA,0,0,161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
J.Maclin,WR,BAL,0,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
A.Abdullah,RB,DET,0,163,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
M.Lynch,RB,OAK,0,139,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
T.Benjamin,WR,LAC,0,9,159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
